restaurant_name,address_restaurant,stars,open_time,cost_restaurant,cost_service,voucher
Gà Rán Popeyes - Điện Biên Phủ,"58/13 Nguyễn Bỉnh Khiêm (Vòng Xoay Nguyễn Bỉnh Khiêm), P. Đa Kao, Quận 1, TP. HCM",4.5,10:00 - 21:30,30.000 - 170.000, 0.0% Phí phục vụ , VIB giảm 30k
Cháo Trắng & Cháo Đậu HP - Phạm Viết Chánh,"112 Phạm Viết Chánh, P. Nguyễn Cư Trinh, Quận 1, TP. HCM",4.5,07:00 - 12:58 | 15:00 - 21:00,5.000 - 25.000, 0.0% Phí phục vụ , VIB giảm 30k
Busan Korean Food - Món Hàn Quốc - Nguyễn Thái Học,"45/4 Nguyễn Thái Học, P. Cầu Ông Lãnh, Quận 1, TP. HCM",4.5,09:30 - 21:30,30.000 - 270.000, 0.0% Phí phục vụ , VIB giảm 30k
Quán Chay Sala,"71C Nguyễn Thị Minh Khai, P. Bến Thành, Quận 1, TP. HCM",4.5,06:00 - 20:55,17.000 - 45.000, 0.0% Phí phục vụ , VIB giảm 30k
Bonchon Chicken Vietnam - Lý Tự Trọng,"43 Lý Tự Trọng, P. Bến Nghé, Quận 1, TP. HCM",4.5,10:00 - 21:59,25.000 - 250.000, 0.0% Phí phục vụ , VIB giảm 30k
Kem Bơ - Trái Cây Tô 251 - Nguyễn Thị Minh Khai,"18A Nguyễn Thị Minh Khai, P. Đa Kao, Quận 1, TP. HCM",4.5,00:00 - 02:30 | 08:00 - 23:59,10.000 - 25.000, 0.0% Phí phục vụ , VIB giảm 30k
Bigbro Korean Hotdog,"85 Hồ Tùng Mậu, P. Bến Nghé, Quận 1, TP. HCM",4.5,09:00 - 21:45,50.000 - 50.000, 0.0% Phí phục vụ , VIB giảm 30k
Cá Viên Chiên - Lương Hữu Khánh,"33A Lương Hữu Khánh, P. Phạm Ngũ Lão, Quận 1, TP. HCM",4.5,15:45 - 20:00,20.000 - 55.000, 0.0% Phí phục vụ , VIB giảm 30k
Dimsum Homemade - Há Cảo Đặc Biệt - Trần Khắc Chân,"77 Trần Khắc Chân, Quận 1, TP. HCM",4.5,08:00 - 21:45,30.000 - 30.000, 0.0% Phí phục vụ , VIB giảm 30k
Bò Kho Cô Mai - Since 1984 - Nguyễn Thị Minh Khai,"17C Đường Nguyễn Thị Minh Khai, Quận 1, TP. HCM",4.5,07:30 - 21:00,10.000 - 50.000, 0.0% Phí phục vụ , VIB giảm 30k
Chè Khúc Bạch Thanh - Trần Quang Khải,"68/210 Trần Quang Khải, P. Tân Định, Quận 1, TP. HCM",4.5,09:15 - 22:10,20.000 - 33.000, 0.0% Phí phục vụ , VIB giảm 30k
Cơm Tấm Sườn Que - Nguyễn Thị Minh Khai,"15M Nguyễn Thị Minh Khai, P. Bến Nghé, Quận 1, TP. HCM",4.5,07:00 - 22:00,20.000 - 200.000, 0.0% Phí phục vụ , VIB giảm 30k
Thành Đạt - Hủ Tiếu Nam Vang - Phạm Ngũ Lão,"239 Phạm Ngũ Lão, P. Phạm Ngũ Lão, Quận 1, TP. HCM",4.5,00:00 - 23:59,35.000 - 50.000, 0.0% Phí phục vụ , VIB giảm 30k
Phở Hà - Hải Triều - Since 1990,"19 Hải Triều, P. Bến Nghé, Quận 1, TP. HCM",4.5,00:00 - 23:59,45.000 - 60.000, 0.0% Phí phục vụ , VIB giảm 30k
Bánh Bò Thốt Nốt COCOCake - Lò Bánh Minh Khai,"18A/29 Nguyễn Thị Minh Khai, P. Đa Kao, Quận 1, TP. HCM",4.5,08:30 - 20:20,95.000 - 150.000, 0.0% Phí phục vụ , VIB giảm 30k
Cháo Trắng - Cháo Thịt Bằm BK House - Phạm Viết Chánh,"112B Phạm Viết Chánh, P. Nguyễn Cư Trinh, Quận 1, TP. HCM",4.5,00:00 - 23:59,5.000 - 40.000, 0.0% Phí phục vụ , VIB giảm 30k
Ngoại Ưi - Bánh Tráng Chấm - Cô Giang,"168 Cô Giang, P. Cô Giang, Quận 1, TP. HCM",4.5,00:00 - 01:00 | 11:59 - 23:59,10.000 - 20.000, 0.0% Phí phục vụ , VIB giảm 30k
Quán 185 - Cháo Trắng & Cơm Bình Dân - Nguyễn Trãi,"197 Nguyễn Trãi, P. Nguyễn Cư Trinh, Quận 1, TP. HCM",4.5,00:01 - 23:59,20.000 - 50.000, 0.0% Phí phục vụ , VIB giảm 30k
Cháo Sườn Chú Chen - Nguyễn Trãi,"281 - 283 Nguyễn Trãi, P. Nguyễn Cư Trinh, Quận 1, TP. HCM",4.5,00:00 - 02:50 | 07:00 - 23:59,35.000 - 79.000, 0.0% Phí phục vụ , VIB giảm 30k
TOUS les JOURS - Hai Bà Trưng,"180 Hai Bà Trưng, Quận 1, TP. HCM",4.5,07:00 - 21:00,30.000 - 66.000, 0.0% Phí phục vụ , VIB giảm 30k
Chivago Chicken - Gà Rán Hàn Quốc & Bia - Nguyễn Thái Học,"161 Nguyễn Thái Học, P. Phạm Ngũ Lão, Quận 1, TP. HCM",4.5,00:00 - 01:45 | 11:00 - 23:59,100.000 - 500.000, 0.0% Phí phục vụ , VIB giảm 30k
Hà La Cà - Bánh Mì Bình Định & Bánh Cuốn Tây Sơn - Huỳnh Khương Ninh,"20 Huỳnh Khương Ninh, P. Đa Kao, Quận 1, TP. HCM",4.5,10:30 - 22:00,0 - 0, 0.0% Phí phục vụ , VIB giảm 30k
Cháo Sườn Cô Giang - Cô Giang,"185 Cô Giang, P. Cô Giang, Quận 1, TP. HCM",4.5,06:45 - 19:00,10.000 - 40.000, 0.0% Phí phục vụ , VIB giảm 30k
Bánh Mì Thịt 10k - Bùi Thị Xuân,"77A Bùi Thị Xuân, P. Phạm Ngũ Lão, Quận 1, TP. HCM",4.5,06:00 - 21:00,20.000 - 60.000, 0.0% Phí phục vụ , VIB giảm 30k
Bánh Cuốn Ba Miền - Trần Quang Khải,"205 Trần Quang Khải, P. Tân Định, Quận 1, TP. HCM",4.5,00:00 - 23:59,33.000 - 45.000, 0.0% Phí phục vụ , VIB giảm 30k
Gà Rán Popeyes - Điện Biên Phủ,"58/13 Nguyễn Bỉnh Khiêm (Vòng Xoay Nguyễn Bỉnh Khiêm), P. Đa Kao, Quận 1, TP. HCM",4.5,10:00 - 21:30,30.000 - 170.000, 0.0% Phí phục vụ , VIB giảm 30k
Cháo Trắng & Cháo Đậu HP - Phạm Viết Chánh,"112 Phạm Viết Chánh, P. Nguyễn Cư Trinh, Quận 1, TP. HCM",4.5,07:00 - 12:58 | 15:00 - 21:00,5.000 - 25.000, 0.0% Phí phục vụ , VIB giảm 30k
Busan Korean Food - Món Hàn Quốc - Nguyễn Thái Học,"45/4 Nguyễn Thái Học, P. Cầu Ông Lãnh, Quận 1, TP. HCM",4.5,09:30 - 21:30,30.000 - 270.000, 0.0% Phí phục vụ , VIB giảm 30k
Quán Chay Sala,"71C Nguyễn Thị Minh Khai, P. Bến Thành, Quận 1, TP. HCM",4.5,06:00 - 20:55,17.000 - 45.000, 0.0% Phí phục vụ , VIB giảm 30k
Bonchon Chicken Vietnam - Lý Tự Trọng,"43 Lý Tự Trọng, P. Bến Nghé, Quận 1, TP. HCM",4.5,10:00 - 21:59,25.000 - 250.000, 0.0% Phí phục vụ , VIB giảm 30k
Kem Bơ - Trái Cây Tô 251 - Nguyễn Thị Minh Khai,"18A Nguyễn Thị Minh Khai, P. Đa Kao, Quận 1, TP. HCM",4.5,00:00 - 02:30 | 08:00 - 23:59,10.000 - 25.000, 0.0% Phí phục vụ , VIB giảm 30k
Bigbro Korean Hotdog,"85 Hồ Tùng Mậu, P. Bến Nghé, Quận 1, TP. HCM",4.5,09:00 - 21:45,50.000 - 50.000, 0.0% Phí phục vụ , VIB giảm 30k
Cá Viên Chiên - Lương Hữu Khánh,"33A Lương Hữu Khánh, P. Phạm Ngũ Lão, Quận 1, TP. HCM",4.5,15:45 - 20:00,20.000 - 55.000, 0.0% Phí phục vụ , VIB giảm 30k
Dimsum Homemade - Há Cảo Đặc Biệt - Trần Khắc Chân,"77 Trần Khắc Chân, Quận 1, TP. HCM",4.5,08:00 - 21:45,30.000 - 30.000, 0.0% Phí phục vụ , VIB giảm 30k
Bò Kho Cô Mai - Since 1984 - Nguyễn Thị Minh Khai,"17C Đường Nguyễn Thị Minh Khai, Quận 1, TP. HCM",4.5,07:30 - 21:00,10.000 - 50.000, 0.0% Phí phục vụ , VIB giảm 30k
Chè Khúc Bạch Thanh - Trần Quang Khải,"68/210 Trần Quang Khải, P. Tân Định, Quận 1, TP. HCM",4.5,09:15 - 22:10,20.000 - 33.000, 0.0% Phí phục vụ , VIB giảm 30k
Cơm Tấm Sườn Que - Nguyễn Thị Minh Khai,"15M Nguyễn Thị Minh Khai, P. Bến Nghé, Quận 1, TP. HCM",4.5,07:00 - 22:00,20.000 - 200.000, 0.0% Phí phục vụ , VIB giảm 30k
Thành Đạt - Hủ Tiếu Nam Vang - Phạm Ngũ Lão,"239 Phạm Ngũ Lão, P. Phạm Ngũ Lão, Quận 1, TP. HCM",4.5,00:00 - 23:59,35.000 - 50.000, 0.0% Phí phục vụ , VIB giảm 30k
Phở Hà - Hải Triều - Since 1990,"19 Hải Triều, P. Bến Nghé, Quận 1, TP. HCM",4.5,00:00 - 23:59,45.000 - 60.000, 0.0% Phí phục vụ , VIB giảm 30k
Bánh Bò Thốt Nốt COCOCake - Lò Bánh Minh Khai,"18A/29 Nguyễn Thị Minh Khai, P. Đa Kao, Quận 1, TP. HCM",4.5,08:30 - 20:20,95.000 - 150.000, 0.0% Phí phục vụ , VIB giảm 30k
Cháo Trắng - Cháo Thịt Bằm BK House - Phạm Viết Chánh,"112B Phạm Viết Chánh, P. Nguyễn Cư Trinh, Quận 1, TP. HCM",4.5,00:00 - 23:59,5.000 - 40.000, 0.0% Phí phục vụ , VIB giảm 30k
Ngoại Ưi - Bánh Tráng Chấm - Cô Giang,"168 Cô Giang, P. Cô Giang, Quận 1, TP. HCM",4.5,00:00 - 01:00 | 11:59 - 23:59,10.000 - 20.000, 0.0% Phí phục vụ , VIB giảm 30k
Quán 185 - Cháo Trắng & Cơm Bình Dân - Nguyễn Trãi,"197 Nguyễn Trãi, P. Nguyễn Cư Trinh, Quận 1, TP. HCM",4.5,00:01 - 23:59,20.000 - 50.000, 0.0% Phí phục vụ , VIB giảm 30k
Cháo Sườn Chú Chen - Nguyễn Trãi,"281 - 283 Nguyễn Trãi, P. Nguyễn Cư Trinh, Quận 1, TP. HCM",4.5,00:00 - 02:50 | 07:00 - 23:59,35.000 - 79.000, 0.0% Phí phục vụ , VIB giảm 30k
TOUS les JOURS - Hai Bà Trưng,"180 Hai Bà Trưng, Quận 1, TP. HCM",4.5,07:00 - 21:00,30.000 - 66.000, 0.0% Phí phục vụ , VIB giảm 30k
Chivago Chicken - Gà Rán Hàn Quốc & Bia - Nguyễn Thái Học,"161 Nguyễn Thái Học, P. Phạm Ngũ Lão, Quận 1, TP. HCM",4.5,00:00 - 01:45 | 11:00 - 23:59,100.000 - 500.000, 0.0% Phí phục vụ , VIB giảm 30k
Hà La Cà - Bánh Mì Bình Định & Bánh Cuốn Tây Sơn - Huỳnh Khương Ninh,"20 Huỳnh Khương Ninh, P. Đa Kao, Quận 1, TP. HCM",4.5,10:30 - 22:00,0 - 0, 0.0% Phí phục vụ , VIB giảm 30k
Cháo Sườn Cô Giang - Cô Giang,"185 Cô Giang, P. Cô Giang, Quận 1, TP. HCM",4.5,06:45 - 19:00,10.000 - 40.000, 0.0% Phí phục vụ , VIB giảm 30k
Cu Sữa - Hot Dog,"59 Nguyễn Du, P. Bến Nghé, Quận 1, TP. HCM",4.5,14:00 - 23:00,10.000 - 20.000, 0.0% Phí phục vụ , VIB giảm 30k
Gà Rán KFC - Nguyễn Văn Giai,"2 Nguyễn Huy Tự, P. Đa Kao, Quận 1, TP. HCM",4.5,09:00 - 23:59,30.000 - 88.000, 0.0% Phí phục vụ , VIB giảm 30k
Bún Chả Hà Nội 1982 - Đinh Tiên Hoàng,"18 Đinh Tiên Hoàng, P. Đa Kao, Quận 1, TP. HCM",4.5,08:00 - 21:00,35.000 - 50.000, 0.0% Phí phục vụ , VIB giảm 30k
Cơm Gà Xối Mỡ Su Su,"117/1D Cống Quỳnh, P. Nguyễn Cư Trinh, Quận 1, TP. HCM",4.5,10:30 - 20:30,28.000 - 44.000, 0.0% Phí phục vụ , VIB giảm 30k
Hồng Hạnh - Bánh Cuốn & Món Huế,"17A Nguyễn Thị Minh Khai, P. Bến Nghé, Quận 1, TP. HCM",4.5,06:00 - 22:40,25.000 - 77.000, 0.0% Phí phục vụ , VIB giảm 30k
Cô Bông - Bún Mắm - Chợ Tân Định,"Đối Diện 125 Nguyễn Hữu Cầu, P. Tân Định, Quận 1, TP. HCM",4.5,05:30 - 17:00,35.000 - 45.000, 0.0% Phí phục vụ , VIB giảm 30k
Bánh Cuốn Tây Hồ - Đinh Tiên Hoàng,"127 Đinh Tiên Hoàng, P. Đa Kao, Quận 1, TP. HCM",4.5,06:00 - 19:45,30.000 - 55.000, 0.0% Phí phục vụ , VIB giảm 30k
Wow Chicken - Gà Rán & Cơm Gà - Sương Nguyệt Ánh,"1A Ter Sương Nguyệt Ánh, P. Bến Thành, Quận 1, TP. HCM",4.5,09:00 - 22:00,5.000 - 100.000, 0.0% Phí phục vụ , VIB giảm 30k
Bún Riêu Cua Ốc Phang Rang Ninh Thuận - Nguyễn Thái Bình,"66 Nguyễn Thái Bình, P. Nguyễn Thái Bình, Quận 1, TP. HCM",4.5,06:00 - 21:30,35.000 - 55.000, 0.0% Phí phục vụ , VIB giảm 30k
Quán Nem - Nem Cua Biển & Bún Chả - Nguyễn Thị Minh Khai,"15E Nguyễn Thị Minh Khai, P. Bến Nghé, Quận 1, TP. HCM",4.5,10:00 - 20:30,20.000 - 60.000, 0.0% Phí phục vụ , VIB giảm 30k
A Tùng - Bánh Mì Bò Nướng Bơ Cambodia - Cống Quỳnh,"171 Cống Quỳnh, Quận 1, TP. HCM",4.5,14:50 - 22:25,5.000 - 15.000, 0.0% Phí phục vụ , VIB giảm 30k
Phá Lấu Lì - Sương Nguyệt Ánh,"1A Sương Nguyệt Ánh, P. Bến Thành, Quận 1, TP. HCM",4.5,11:40 - 20:50,30.000 - 110.000, 0.0% Phí phục vụ , VIB giảm 30k
Texas Chicken - Nguyễn Thái Học,"115 Nguyễn Thái Học , Quận 1, TP. HCM",4.5,09:00 - 22:00,30.000 - 300.000, 0.0% Phí phục vụ , VIB giảm 30k
The Pizza Company - Nguyễn Thái Học,"105 - 107 Nguyễn Thái Học, P. Cầu Ông Lãnh, Quận 1, TP. HCM",4.5,10:00 - 21:45,100.000 - 250.000, 0.0% Phí phục vụ , VIB giảm 30k
Miss Đác - Chè Không Ngọt - Hoàng Sa,"111B Hoàng Sa, P. Đa Kao, Quận 1, TP. HCM",4.5,09:15 - 21:45,0 - 20.000, 0.0% Phí phục vụ , VIB giảm 30k
Thanh Thành Đạt - Hủ Tiếu Nam Vang - 43 Đinh Tiên Hoàng,"43 Đinh Tiên Hoàng, P. Đa Kao, Quận 1, TP. HCM",4.5,06:00 - 22:00,35.000 - 50.000, 0.0% Phí phục vụ , VIB giảm 30k
Vịt Quay Huỳnh Ký - Cầu Bông,"2 Bis Trần Quang Khải, Quận 1, TP. HCM",4.5,06:00 - 20:45,100.000 - 220.000, 0.0% Phí phục vụ , VIB giảm 30k
Nem Nướng D'ran - Since 1968 - Nguyễn Thị Minh Khai,"17/7B Nguyễn Thị Minh Khai, P. Bến Nghé, Quận 1, TP. HCM",4.5,10:00 - 19:30,40.000 - 70.000, 0.0% Phí phục vụ , VIB giảm 30k
Marukame Udon - Udon & Tempura - Hai Bà Trưng,"342 - 344 Hai Bà Trưng, P. Tân Định, Quận 1, TP. HCM",4.5,08:00 - 21:00,60.000 - 300.000, 0.0% Phí phục vụ , VIB giảm 30k
Gà Rán KFC - Lê Lai,"78 Lê Lai, P. Phạm Ngũ Lão, Quận 1, TP. HCM",4.5,09:30 - 22:00,30.000 - 88.000, 0.0% Phí phục vụ , VIB giảm 30k
Bánh Mì Anh Phán - Bánh Mì Gà & Thịt Nguội,"145 Cống Quỳnh, P. Nguyễn Cư Trinh, Quận 1, TP. HCM",4.5,05:35 - 22:30,10.000 - 20.000, 0.0% Phí phục vụ , VIB giảm 30k
Hủ Tiếu Mực Ông Già - Tôn Thất Thiệp,"62/3 Tôn Thất Thiệp, P. Bến Nghé, Quận 1, TP. HCM",4.5,06:00 - 21:00,30.000 - 50.000, 0.0% Phí phục vụ , VIB giảm 30k
Bún Đậu Mạc Văn Khoa - Trần Quang Khải,"90 Trần Quang Khải, P. Tân Định, Quận 1, TP. HCM",4.5,10:00 - 22:00,45.000 - 140.000, 0.0% Phí phục vụ , VIB giảm 30k
Cơm Ngon Hà Nội - 131 Nguyễn Du,"131 Nguyễn Du, P. Bến Thành, Quận 1, TP. HCM",4.5,07:30 - 19:00,11.000 - 25.000, 0.0% Phí phục vụ , VIB giảm 30k
Nem Nướng D'ran Since 1968 - Healthy & Fresh - Nguyễn Trãi,"212B/D13 Nguyễn Trãi, P. Nguyễn Cư Trinh, Quận 1, TP. HCM",4.5,10:00 - 19:30,40.000 - 70.000, 0.0% Phí phục vụ , VIB giảm 30k
Vina Chuối - Huỳnh Thúc Kháng,"25 Huỳnh Thúc Kháng, P. Bến Nghé, Quận 1, TP. HCM",4.5,09:00 - 22:00,8.000 - 8.000, 0.0% Phí phục vụ , VIB giảm 30k
Cô Thảo Tôm Cá - Cá Hồi Ngâm Tương - Trần Đình Xu,"42/2 Trần Đình Xu, P. Cô Giang, Quận 1, TP. HCM",4.5,09:00 - 22:30,0 - 0, 0.0% Phí phục vụ , VIB giảm 30k
Phú Bến Tre - Hủ Tiếu Mực & Bún Thái Hải Sản,"2Bis Mai Thị Lựu, P. Dakao, Quận 1, TP. HCM",4.5,06:30 - 21:00,30.000 - 50.000, 0.0% Phí phục vụ , VIB giảm 30k
Dimsum Homemade - Há Cảo Ngũ Sắc - Nguyễn Thị Minh Khai,"101 Nguyễn Thị Minh Khai, P. Phạm Ngũ Lão, Quận 1, TP. HCM",4.5,09:00 - 21:30,30.000 - 30.000, 0.0% Phí phục vụ , VIB giảm 30k
Bún Bò Huế Đông Ba - Since 1998,"207B Nguyễn Văn Thủ, P. Đa Kao, Quận 1, TP. HCM",4.5,06:30 - 21:00,38.000 - 55.000, 0.0% Phí phục vụ , VIB giảm 30k
Bánh Mì & Sữa Bắp 122 - Bùi Thị Xuân,"122E Bùi Thị Xuân, P. Phạm Ngũ Lão, Quận 1, TP. HCM",4.5,00:00 - 01:00 | 05:30 - 23:59,20.000 - 33.000, 0.0% Phí phục vụ , VIB giảm 30k
Marukame Udon - Udon & Tempura - Lý Tự Trọng,"215 Lý Tự Trọng, P. Bến Thành, Quận 1, TP. HCM",4.5,07:15 - 21:00,60.000 - 300.000, 0.0% Phí phục vụ , VIB giảm 30k
MANMARU - Ẩm Thực Nhật Bản - Mạc Đĩnh Chi,"71 Mạc Đĩnh Chi, P. Đa Kao, Quận 1, TP. HCM",4.5,10:45 - 23:00,150.000 - 300.000, 0.0% Phí phục vụ , VIB giảm 30k
"Home Mì - Mì Ý, Salad & Gà Chiên - Shop Online","65A Cách Mạng Tháng 8, P. Bến Thành, Quận 1, TP. HCM",4.5,09:30 - 21:30,27.000 - 100.000, 0.0% Phí phục vụ , VIB giảm 30k
DODO PIZZA - Trần Hưng Đạo ,"147A Trần Hưng Đạo, P. Cầu Ông Lãnh, Quận 1, TP. HCM",4.5,10:00 - 21:30,68.000 - 525.000, 0.0% Phí phục vụ , VIB giảm 30k
Bà Xã Vegan - Nhà Hàng Chay - Pasteur,"178/4 Pasteur, P. Bến Nghé, Quận 1, TP. HCM",4.5,09:00 - 21:40,40.000 - 100.000, 0.0% Phí phục vụ , VIB giảm 30k
